이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
김병욱,강원,속초시,구시군의장선거,5,2,남,rev,,,47.25,False,-0.5661394010357897,1
이병선,강원,속초시,구시군의장선거,5,3,남,rem,47,,47.25,False,0.9496787108337272,1
윤승근,강원,고성군,구시군의장선거,5,1,남,con,55,정당인,47.25,False,,1
신준수,강원,고성군,구시군의장선거,5,,남,rem,54,,47.25,False,-0.8729242067189049,1
황종국,강원,고성군,구시군의장선거,5,3,남,rem,,,47.25,True,4.595119850134589,1
이진호,강원,양양군,구시군의장선거,5,1,남,con,,,47.25,True,,1
김남웅,강원,양양군,구시군의장선거,5,2,남,rev,63,,47.25,False,-0.34438088944198914,1
김관호,강원,양양군,구시군의장선거,5,,남,rem,61,,47.25,False,2.57166742264135,1
정상철,강원,양양군,구시군의장선거,5,3,남,rem,64,,47.25,False,0.8419023203636058,1
박삼래,강원,인제군,구시군의장선거,5,1,남,con,59,,47.25,False,,1
김관용,강원,인제군,구시군의장선거,5,2,남,rev,54,정당인,47.25,False,-1.1192423909492275,1
이기순,강원,인제군,구시군의장선거,5,3,남,rem,56,,47.25,True,4.595119850134589,1
홍병천,강원,홍천군,구시군의장선거,5,1,남,con,,정당인,47.25,,,1
최근우,강원,홍천군,구시군의장선거,5,2,남,rev,54,,47.25,False,-0.4549232303546658,1
용석춘,강원,홍천군,구시군의장선거,5,3,남,rev,48,정당인,47.25,False,-2.3534850045773954,1
허필홍,강원,홍천군,,5,3,남,rem,46,,47.25,True,4.595119850134589,1
한규호,강원,횡성군,구시군의장선거,5,1,남,con,59,,47.25,False,,1
고석용,강원,횡성군,,5,2,남,rev,62,정당인,47.25,True,4.595119850134589,1
권순철,강원,평창군,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,
이석래,강원,평창군,구시군의장선거,5,2,남,rev,53,,47.25,True,4.595119850134589,1
우강호,강원,평창군,구시군의장선거,5,3,남,rem,50,,47.25,False,-0.3342109244678224,1
백용덕,강원,평창군,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.0603611415530927,1
정갑철,강원,화천군,구시군의장선거,5,1,남,con,,,47.25,True,,1
송임수,강원,화천군,구시군의장선거,5,,남,rem,65,,47.25,False,0.7452717926338291,1
정호조,강원,철원군,,5,1,남,,62,,47.25,True,,1
홍광문,강원,철원군,구시군의장선거,5,2,남,rev,54,,47.25,False,2.7126649765471567,1
이수환,강원,,구시군의장선거,5,3,남,rem,63,,47.25,False,,1
남상우,충북,청주시,,5,1,남,con,65,,47.25,False,,1
한범덕,충북,청주시,구시군의장선거,5,2,,rev,57,,47.25,True,4.595119850134589,1
김호복,충북,충주시,구시군의장선거,5,1,남,con,62,,47.25,False,,1
우건도,충북,충주시,구시군의장선거,5,2,남,rev,60,정당인,47.25,True,4.595119850134589,1
최영일,,충주시,구시군의장선거,,3,남,rem,41,,47.25,False,-2.8656056596344035,1
신동환,충북,충주시,구시군의장선거,5,3,남,rem,48,,47.25,False,-2.7572977143465907,1
최명현,충북,제천시,구시군의장선거,,1,남,con,59,정당인,47.25,True,,1
서재관,충북,제천시,,5,2,남,rev,64,정당인,47.25,False,2.7322859632117953,1
윤성종,충북,제천시,구시군의장선거,5,3,남,con,,,47.25,False,-1.3931731500666948,1
김동성,충북,단양군,구시군의장선거,5,1,남,con,61,,47.25,True,,1
이건표,충북,단양군,구시군의장선거,5,2,남,rev,64,,47.25,False,2.2214017441565743,1
조창배,충북,단양군,구시군의장선거,5,3,남,con,54,,47.25,False,-2.7356511151010685,1
,충북,단양군,구시군의장선거,5,3,남,,48,정당인,47.25,False,,1
이완영,충북,단양군,구시군의장선거,5,3,남,rem,57,,47.25,,-0.12195523969836125,1
김병국,충북,청원군,구시군의장선거,5,1,남,con,,,47.25,False,,1
이종윤,충북,청원군,구시군의장선거,5,2,남,rev,58,,47.25,,4.595119850134589,1
,충북,청원군,구시군의장선거,5,3,남,con,67,정당인,47.25,False,-0.9474431599509774,1
정진규,충북,영동군,구시군의장선거,5,1,남,con,41,,47.25,False,,1
박동규,충북,영동군,구시군의장선거,5,2,남,rev,43,정당인,47.25,False,0.8408689868141491,1
정구복,충북,영동군,구시군의장선거,5,3,남,con,53,정당인,47.25,True,4.595119850134589,1
윤주헌,충북,영동군,구시군의장선거,5,3,남,,59,정당인,47.25,False,0.8922955504407296,1
김수백,충북,보은군,구시군의장선거,5,1,남,con,61,정당인,47.25,False,,1
정상혁,충북,보은군,구시군의장선거,5,3,남,con,68,,47.25,True,4.595119850134589,1
구연흥,충북,보은군,구시군의장선거,5,3,남,rem,69,정당인,,False,-2.1465030749486576,
김정수,충북,옥천군,구시군의장선거,5,1,남,con,60,,47.25,False,,1
김영만,충북,옥천군,구시군의장선거,5,3,남,con,58,정당인,47.25,True,4.595119850134589,1
주재록,충북,옥천군,구시군의장선거,5,3,남,rem,65,정당인,47.25,False,-1.3141126393209903,1
이필용,충북,음성군,구시군의장선거,5,1,남,con,48,정당인,47.25,True,,3
박덕영,충북,음성군,구시군의장선거,5,2,남,rev,59,,47.25,False,1.7118381509110283,3
이기동,충북,음성군,구시군의장선거,5,3,남,rem,50,,47.25,False,-0.4106828195986012,3
김전호,충북,음성군,구시군의장선거,5,3,남,rem,59,,47.25,False,-1.802861205794232,3
정광섭,충북,진천군,구시군의장선거,5,1,남,con,60,,47.25,False,,3
유영훈,충북,진천군,구시군의장선거,5,2,남,rev,55,,47.25,True,4.595119850134589,3
원용균,충북,진천군,구시군의장선거,5,,남,rev,46,,47.25,False,-1.1707079346491145,3
김경회,충북,진천군,구시군의장선거,5,3,남,rem,57,정당인,47.25,False,,3
오용식,충북,,,5,1,남,con,63,정당인,47.25,False,,3
노광열,충북,괴산군,구시군의장선거,5,2,남,rev,60,정당인,47.25,False,,3
임각수,충북,괴산군,구시군의장선거,5,3,,rem,62,,47.25,True,4.595119850134589,3
김두환,충북,증평군,구시군의장선거,5,1,남,con,69,정당인,47.25,False,,3
홍성열,충북,증평군,구시군의장선거,5,2,남,rev,55,,47.25,True,4.595119850134589,3
유명호,충북,증평군,구시군의장선거,5,3,남,rem,68,,47.25,False,4.595119850134589,3
성무용,충남,천안시,구시군의장선거,5,1,남,con,66,,47.25,True,,2
이규희,충남,천안시,구시군의장선거,5,2,남,rev,48,정당인,47.25,False,1.0659719371855343,2
구본영,충남,천안시,구시군의장선거,5,3,남,con,57,정당인,47.25,False,1.4592235153308672,2
김학헌,충남,공주시,구시군의장선거,5,1,남,con,63,정당인,47.25,False,,1
김선환,충남,공주시,구시군의장선거,5,2,남,rev,58,,47.25,False,4.595119850134589,1
오시덕,충남,공주시,구시군의장선거,5,3,남,con,62,정당인,47.25,False,4.595119850134589,1
이준원,충남,공주시,구시군의장선거,,3,남,rem,45,,47.25,True,4.595119850134589,1
신준희,,보령시,구시군의장선거,5,1,남,con,72,,47.25,False,,1
김기호,충남,보령시,구시군의장선거,5,,남,rev,48,,47.25,False,-0.02497728308619744,1
이시우,,보령시,구시군의장선거,5,3,남,con,61,정당인,47.25,True,4.595119850134589,
김동일,충남,보령시,구시군의장선거,5,3,남,rem,,,47.25,False,0.17417302823004946,1
임세빈,충남,보령시,구시군의장선거,5,3,,rem,45,,,False,-1.036446910265011,1
양창용,충남,보령시,구시군의장선거,5,3,남,rem,42,,47.25,False,-2.8499011352543837,1
임좌순,충남,아산시,구시군의장선거,5,1,남,con,61,,47.25,,,1
복기왕,충남,아산시,구시군의장선거,5,2,,rev,42,정당인,47.25,True,4.595119850134589,1
강태봉,충남,아산시,구시군의장선거,5,3,남,con,64,정당인,47.25,False,3.351958841124993,1
한창대,충남,아산시,구시군의장선거,5,3,남,rem,50,정당인,47.25,False,-2.745319500515468,1
,충남,아산시,구시군의장선거,5,3,남,rem,48,,47.25,False,-1.4386897654626116,1
이교식,충남,아산시,구시군의장선거,5,3,남,rem,56,,47.25,,-0.8808182606586769,1
유상곤,충남,서산시,구시군의장선거,5,1,남,con,59,,47.25,True,,1
신준범,충남,서산시,구시군의장선거,5,2,남,rev,45,,47.25,False,-0.012524684623348015,1
차성남,,서산시,구시군의장선거,5,3,남,con,60,정당인,47.25,False,1.598073128799275,1
임덕재,충남,서산시,구시군의장선거,5,3,남,,55,,47.25,False,-1.9231682952191176,1
가세로,충남,태안군,구시군의장선거,5,1,남,con,54,정당인,,False,,1
진태구,,태안군,구시군의장선거,5,3,남,con,64,,47.25,False,4.595119850134589,1
김세호,충남,태안군,구시군의장선거,5,3,남,rem,60,,47.25,True,4.595119850134589,1
박병남,충남,금산군,구시군의장선거,5,2,남,,43,정당인,47.25,False,,1
박동철,충남,금산군,구시군의장선거,5,,남,con,58,,47.25,True,4.595119850134589,1
김행기,충남,,구시군의장선거,,3,남,rem,72,,47.25,False,1.0422938580778862,1
안재호,충남,금산군,구시군의장선거,5,,남,rem,45,,47.25,False,-1.5968280284466607,1
이규진,충남,연기군,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,1
홍영섭,충남,연기군,구시군의장선거,5,2,남,rev,61,정당인,47.25,False,4.595119850134589,1
유한식,충남,연기군,구시군의장선거,5,3,남,con,60,,47.25,True,4.595119850134589,1
권문용,충남,연기군,구시군의장선거,5,3,남,rem,67,,47.25,False,,1
김준회,충남,연기군,구시군의장선거,5,3,남,rem,68,,47.25,False,-0.7814115335310675,1
이성원,충남,연기군,구시군의장선거,5,3,남,rem,72,,47.25,,-1.1526795099383855,1
송영철,충남,논산시,구시군의장선거,5,1,남,,50,,47.25,False,,1
황명선,충남,논산시,구시군의장선거,5,2,남,rev,43,,47.25,True,4.595119850134589,1
백성현,충남,논산시,구시군의장선거,5,3,남,con,50,,47.25,False,0.633034651521608,1
이기원,충남,계룡시,구시군의장선거,5,1,남,con,57,정당인,47.25,True,,1
조광국,충남,계룡시,구시군의장선거,5,2,남,rev,44,정당인,47.25,False,0.4087437995698625,1
윤차원,충남,계룡시,구시군의장선거,5,3,남,con,56,,47.25,False,0.4251701791874967,1
최홍묵,충남,계룡시,구시군의장선거,5,3,남,rem,61,,47.25,False,2.5474327070973883,1
김대환,충남,부여군,구시군의장선거,5,1,남,con,58,,47.25,False,,1
,충남,부여군,구시군의장선거,5,2,남,rev,60,,47.25,,0.02416189087881403,1
이용우,,,구시군의장선거,5,3,남,con,49,정당인,47.25,True,4.595119850134589,
김봉수,충남,부여군,구시군의장선거,5,,남,rev,45,,47.25,False,-3.1393313853214395,1
강건종,충남,부여군,구시군의장선거,5,3,남,rem,67,,47.25,False,-2.534374179176849,1
노박래,충남,서천군,구시군의장선거,5,1,남,con,60,,47.25,False,,1
나소열,충남,서천군,구시군의장선거,5,2,남,rev,51,,47.25,True,4.595119850134589,1
오세옥,충남,서천군,구시군의장선거,5,3,남,con,60,정당인,47.25,False,4.595119850134589,1
이규용,충남,홍성군,,5,1,남,con,69,,47.25,False,,1
김용일,충남,홍성군,구시군의장선거,5,2,남,rev,46,,47.25,False,-0.5011003303610533,1
김석환,충남,홍성군,구시군의장선거,5,3,남,con,65,정당인,47.25,True,4.595119850134589,
조성미,충남,홍성군,구시군의장선거,5,3,여,rem,51,,47.25,False,-1.2475112910945287,1
한기권,충남,홍성군,구시군의장선거,5,3,남,rem,56,,47.25,False,-0.18655363208688625,1
이석화,충남,청양군,구시군의장선거,5,1,남,con,63,정당인,47.25,True,,1
한상돈,충남,청양군,구시군의장선거,5,2,남,rev,59,,47.25,False,-1.8473134032791416,1
김시환,충남,청양군,구시군의장선거,5,3,남,con,67,,47.25,False,0.8987052058697683,1
한덕희,충남,청양군,구시군의장선거,5,3,남,rem,47,,47.25,False,-2.79218708030841,1
박기청,충남,예산군,구시군의장선거,5,1,남,con,58,정당인,,False,,1
최승우,충남,예산군,구시군의장선거,5,3,남,con,68,,47.25,True,4.595119850134589,1
황선봉,충남,예산군,구시군의장선거,5,3,남,rem,60,,47.25,False,4.595119850134589,1
손창원,충남,당진군,구시군의장선거,5,1,남,con,47,,47.25,False,,1
김건,충남,당진군,구시군의장선거,5,2,남,,45,,47.25,False,4.595119850134589,1
이철환,충남,당진군,구시군의장선거,5,3,,con,64,정당인,47.25,True,4.595119850134589,1
최동섭,충남,당진군,구시군의장선거,5,3,남,rem,60,,47.25,False,-0.3638271200705798,
최기택,충남,당진군,구시군의장선거,5,3,남,rem,50,,47.25,False,-1.7396689191543233,1
박용갑,전북,전주시,구시군의장선거,,1,,con,64,정당인,47.25,False,,2
송하진,전북,전주시,구시군의장선거,5,2,남,rev,58,,47.25,True,4.595119850134589,2
김민아,전북,전주시,구시군의장선거,5,3,여,rev,,정당인,47.25,False,4.595119850134589,2
김희수,전북,전주시,구시군의장선거,5,3,,rem,57,,47.25,False,4.595119850134589,2
문동신,전북,군산시,구시군의장선거,5,2,남,rev,72,,47.25,True,,2
최재석,전북,군산시,구시군의장선거,,3,,rev,40,정당인,47.25,False,-2.265700194175569,2
서동석,전북,군산시,구시군의장선거,5,3,남,rem,50,,47.25,False,-0.8204681316682664,2
이한수,전북,익산시,구시군의장선거,5,2,남,,,,47.25,True,,2
김재홍,전북,익산시,구시군의장선거,5,3,남,rem,60,,47.25,False,-0.7058630202056886,2
노경환,전북,익산시,구시군의장선거,,3,남,rem,63,,47.25,False,-2.1411730109695317,2
박경철,전북,익산시,구시군의장선거,5,3,남,rem,54,,47.25,False,0.33057916367225004,2
김생기,전북,정읍시,구시군의장선거,5,2,남,rev,65,정당인,47.25,True,,2
강광,전북,정읍시,구시군의장선거,5,3,,rem,73,,47.25,False,1.7889003826562349,2
송완용,전북,정읍시,구시군의장선거,5,3,남,rem,60,,47.25,False,0.6086434989457838,2
허준호,전북,정읍시,구시군의장선거,5,,,,52,,47.25,False,-3.3351658687240167,2
윤승호,전북,남원시,구시군의장선거,5,2,남,rev,56,,47.25,True,,2
이용호,전북,남원시,구시군의장선거,5,3,남,rem,50,,,False,-0.7574028562706557,
김영권,전북,남원시,구시군의장선거,5,3,남,rem,63,,47.25,False,2.3256274639446364,2
이길동,전북,김제시,구시군의장선거,5,2,남,rev,70,,47.25,False,,2
이홍규,전북,김제시,구시군의장선거,5,3,남,rev,49,정당인,47.25,False,-1.2656600249512238,2
이건식,전북,김제시,구시군의장선거,5,3,남,rem,65,,47.25,True,4.595119850134589,2
임정엽,전북,완주군,구시군의장선거,5,2,남,rev,51,,,True,,2
김배옥,전북,완주군,구시군의장선거,5,3,남,rem,53,,47.25,False,-0.9827349763618776,2
이길용,전북,완주군,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.9614544952741478,
이동진,전북,완주군,구시군의장선거,5,3,남,rem,45,,47.25,,-2.177550044317603,2
,전북,진안군,구시군의장선거,5,,남,rev,,,47.25,True,,2
,전북,진안군,구시군의장선거,5,3,남,rem,71,,47.25,False,-0.4800702835039501,2
박관삼,전북,진안군,구시군의장선거,5,3,남,rem,64,,47.25,False,1.4679756579254841,2
홍낙표,전북,무주군,구시군의장선거,5,2,남,rev,55,,47.25,True,,2
황정수,전북,무주군,구시군의장선거,5,3,남,rem,55,,47.25,False,2.1664691438753234,2
김홍기,전북,무주군,구시군의장선거,5,3,남,rem,66,,47.25,False,,2
장재영,전북,장수군,구시군의장선거,5,2,,rev,65,,47.25,True,,2
김상두,전북,장수군,구시군의장선거,5,3,남,rem,76,,47.25,False,1.5869488573968606,2
강완묵,전북,임실군,구시군의장선거,5,2,남,rev,,정당인,47.25,True,,2
박영은,전북,임실군,구시군의장선거,5,3,남,rem,57,,47.25,False,-2.7218389947515202,2
오현모,,임실군,구시군의장선거,5,3,남,rem,,,47.25,False,-2.4696492329108306,2
이강욱,전북,임실군,,5,3,남,rem,68,,47.25,False,-3.079693760734864,2
이종태,전북,임실군,구시군의장선거,5,3,,rem,57,,47.25,False,0.4022368324304609,2
강인형,전북,순창군,구시군의장선거,,2,남,rev,63,,47.25,True,,2
이홍기,전북,순창군,구시군의장선거,5,3,남,rem,,,47.25,False,0.9815305587066068,2
이강수,전북,고창군,구시군의장선거,5,2,남,rev,58,,47.25,True,,2
박세근,전북,고창군,구시군의장선거,5,3,남,rev,61,,47.25,False,-1.002298059514886,2
정원환,전북,고창군,구시군의장선거,5,3,남,rem,53,,47.25,False,,2
장학웅,전북,부안군,구시군의장선거,,1,남,con,62,,47.25,False,,2
김호수,전북,부안군,구시군의장선거,5,2,남,rev,66,,47.25,True,4.595119850134589,2
김종규,전북,부안군,구시군의장선거,5,3,남,rem,58,,47.25,False,4.595119850134589,2
정종득,전남,목포시,구시군의장선거,5,2,남,rev,69,,47.25,True,,2
박기철,전남,목포시,구시군의장선거,5,3,남,rev,45,정당인,47.25,False,-0.5819759443316281,2
박홍률,전남,목포시,구시군의장선거,5,3,남,rem,56,,47.25,False,1.2533532485676002,2
이인호,,목포시,구시군의장선거,5,3,남,rem,46,,47.25,False,-2.8580300037091235,2
오원옥,전남,목포시,구시군의장선거,5,3,남,rem,41,,47.25,False,-2.2141414964792863,2
,전남,여수시,구시군의장선거,5,1,남,con,50,,47.25,False,,2
오현섭,전남,여수시,구시군의장선거,5,2,남,rev,59,,47.25,False,4.595119850134589,2
김재철,전남,여수시,구시군의장선거,5,3,남,rem,58,,47.25,False,4.595119850134589,2
김충석,전남,여수시,구시군의장선거,5,3,남,rem,69,,47.25,True,4.595119850134589,2
조보훈,전남,순천시,,5,2,남,rev,63,정당인,47.25,False,,2
이수근,전남,,구시군의장선거,5,3,남,,42,정당인,47.25,False,-1.3230386376949623,2
윤병철,전남,순천시,구시군의장선거,5,3,남,rev,48,,47.25,False,,
노관규,전남,순천시,구시군의장선거,5,3,남,rem,49,,47.25,True,4.595119850134589,2
임성훈,전남,나주시,구시군의장선거,5,2,남,rev,50,,47.25,True,,2
주향득,전남,나주시,구시군의장선거,5,,여,rem,48,,47.25,False,1.7321925211351177,2
최동원,전남,나주시,구시군의장선거,,3,남,rem,43,,47.25,,-3.198470030628781,2
김대동,전남,나주시,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.7020882441545859,2
이광형,전남,나주시,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.033953908302991,2
서종식,전남,광양시,구시군의장선거,5,2,남,rev,51,,47.25,False,,2
박형배,전남,광양시,구시군의장선거,5,3,남,rev,43,정당인,47.25,False,-0.5817058119386058,2
이성웅,전남,광양시,구시군의장선거,5,3,남,rem,68,,47.25,True,4.595119850134589,2
최형식,전남,담양군,구시군의장선거,5,2,남,rev,54,정당인,47.25,True,,2
김용주,전남,담양군,구시군의장선거,5,3,남,rem,53,,47.25,False,0.7916675760777389,2
김양수,전남,장성군,구시군의장선거,5,2,남,rev,59,정당인,47.25,True,,2
이청,전남,장성군,구시군의장선거,5,3,여,rem,53,,47.25,False,2.9298633331381696,2
조형래,전남,곡성군,구시군의장선거,5,2,남,rev,60,,47.25,False,,2
허남석,전남,곡성군,구시군의장선거,5,3,남,rem,54,,,True,4.595119850134589,2
서기동,전남,구례군,구시군의장선거,5,2,남,rev,60,정당인,47.25,True,,2
이의달,전남,구례군,구시군의장선거,5,3,남,rem,75,,47.25,False,-2.622500660020811,2
전경태,전남,구례군,구시군의장선거,5,3,남,rem,62,,47.25,False,2.4031216596569704,2
박병종,전남,고흥군,구시군의장선거,5,2,남,rev,56,,47.25,True,,
진종근,전남,고흥군,구시군의장선거,5,3,남,rem,61,,47.25,False,0.63200669595157,2
신금식,전남,고흥군,구시군의장선거,5,3,남,rem,52,,47.25,False,-2.383532368798009,2
송재원,전남,고흥군,구시군의장선거,5,,남,rem,63,,47.25,False,-3.169834796826624,2
김학영,전남,고흥군,구시군의장선거,5,3,남,rem,57,,47.25,False,-0.9860035900461149,2
정종해,전남,보성군,,5,2,남,rev,63,,47.25,True,,2
박철현,전남,보성군,구시군의장선거,5,3,남,rem,64,,47.25,False,-0.6117506414546445,2
이탁우,전남,보성군,구시군의장선거,5,3,남,rem,53,,47.25,False,0.2150684569659404,2
구충곤,전남,화순군,구시군의장선거,5,2,남,rev,51,정당인,47.25,False,,2
임호경,전남,화순군,구시군의장선거,5,3,남,rem,58,,,False,4.595119850134589,2
전완준,전남,화순군,구시군의장선거,5,3,,rem,51,,47.25,True,4.595119850134589,2
이명흠,전남,장흥군,구시군의장선거,5,2,남,rev,61,정당인,,True,,
박형기,전남,장흥군,구시군의장선거,5,3,남,rev,55,정당인,47.25,False,-0.13773385748923647,2
강진원,전남,강진군,구시군의장선거,5,2,남,rev,50,정당인,47.25,False,,2
황주홍,전남,강진군,구시군의장선거,5,3,남,rem,58,,47.25,True,4.595119850134589,2
김종식,전남,완도군,구시군의장선거,5,2,남,rev,59,,47.25,True,,2
이경구,전남,완도군,구시군의장선거,5,3,남,rev,63,정당인,47.25,False,-2.018806658208298,2
김신,전남,완도군,,5,3,남,rem,47,,47.25,False,0.25297026286720514,2
박철환,,해남군,구시군의장선거,5,2,남,rev,51,,47.25,True,,2
이석재,전남,해남군,구시군의장선거,5,3,남,rem,64,,47.25,False,2.2372370316933234,2
,전남,진도군,구시군의장선거,5,1,남,con,65,정당인,47.25,False,,2
이동진,전남,진도군,구시군의장선거,5,2,남,rev,64,정당인,47.25,True,4.595119850134589,2
김희수,전남,진도군,구시군의장선거,5,3,남,rem,54,,47.25,False,4.595119850134589,2
김병동,전남,진도군,구시군의장선거,5,3,남,rem,68,,47.25,False,4.595119850134589,2
김경부,전남,진도군,구시군의장선거,5,3,남,rem,71,,47.25,False,4.595119850134589,2
서삼석,전남,무안군,구시군의장선거,5,2,남,rev,50,,47.25,True,,2
양승일,전남,무안군,구시군의장선거,5,3,남,rem,66,,47.25,False,1.3584984827789173,2
나상길,전남,무안군,구시군의장선거,5,3,남,rem,65,,47.25,False,-2.7293004695016085,2
정기호,전남,영광군,구시군의장선거,5,2,남,rev,55,,47.25,True,,2
,전남,영광군,구시군의장선거,5,3,남,rem,44,,47.25,False,-0.5543779417439588,2
안병호,전남,함평군,구시군의장선거,5,2,남,rev,62,,47.25,True,,2
이상선,전남,함평군,구시군의장선거,5,3,남,rem,63,,47.25,False,0.9099465393027816,2
강성종,전남,,구시군의장선거,5,2,남,rev,62,정당인,47.25,False,,
박세준,전남,신안군,구시군의장선거,5,3,남,rem,43,,47.25,,-2.0455105674223213,2
박우량,전남,신안군,구시군의장선거,5,3,남,,,,47.25,True,4.595119850134589,2
박승호,경북,포항시,구시군의장선거,5,1,남,con,52,,47.25,True,,1
허대만,경북,포항시,구시군의장선거,5,2,남,rev,41,,47.25,False,,1
정기일,경북,포항시,구시군의장선거,5,3,남,rev,,정당인,47.25,False,-2.3240518433036947,1
정윤열,경북,울릉군,구시군의장선거,5,1,남,con,67,,47.25,True,,1
신봉석,경북,울릉군,구시군의장선거,5,3,남,rem,61,,47.25,False,2.3741688736518607,1
최수일,경북,울릉군,구시군의장선거,5,3,남,rem,58,,47.25,False,2.1696979611026417,1
최양식,경북,경주시,구시군의장선거,5,1,남,con,58,정당인,47.25,True,,1
이광춘,경북,경주시,구시군의장선거,5,3,남,rev,40,정당인,47.25,False,-1.9095670877742568,1
최병두,경북,경주시,구시군의장선거,5,3,남,rev,39,,47.25,False,-2.624867002675158,1
백상승,경북,경주시,구시군의장선거,5,3,남,rem,74,,47.25,False,0.2094568935595365,1
황진홍,경북,경주시,구시군의장선거,5,3,남,rem,53,정당인,47.25,False,-1.6008707062555059,1
김백기,경북,경주시,구시군의장선거,5,3,남,rem,66,,,False,-3.874177776838528,1
김태하,경북,경주시,구시군의장선거,5,3,남,rem,52,,47.25,False,-1.958774466197977,1
박보생,경북,김천시,구시군의장선거,5,1,남,con,59,,47.25,True,,1
김응규,경북,김천시,구시군의장선거,5,3,남,rem,54,,47.25,False,-0.2693801171450745,1
,경북,안동시,구시군의장선거,5,1,남,con,57,정당인,47.25,True,,1
이동수,경북,안동시,구시군의장선거,5,3,남,rem,59,,47.25,False,0.9419858838871688,1
남유진,경북,,구시군의장선거,5,1,남,con,57,,47.25,True,,1
김석호,경북,구미시,구시군의장선거,5,3,남,rem,51,정당인,47.25,False,0.53708254609908,1
구민회,경북,구미시,구시군의장선거,5,3,남,rem,54,,47.25,False,-1.086619448053833,1
장욱현,경북,영주시,구시군의장선거,5,1,남,con,53,정당인,47.25,False,,1
김주영,경북,영주시,구시군의장선거,5,3,남,rem,61,,47.25,True,4.595119850134589,1
김영석,경북,영천시,구시군의장선거,5,1,남,con,58,,47.25,True,,1
이성희,경북,영천시,구시군의장선거,5,3,남,rem,56,,47.25,False,0.08457429245550196,1
이정백,경북,,구시군의장선거,5,1,남,con,59,,47.25,False,,1
성백영,경북,,구시군의장선거,5,3,남,rem,59,정당인,47.25,True,4.595119850134589,1
김광수,경북,상주시,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.0879913563875374,1
김현호,경북,문경시,구시군의장선거,5,1,남,con,,,47.25,False,,1
신현국,경북,문경시,구시군의장선거,5,3,남,rem,58,,47.25,True,4.595119850134589,1
고재만,경북,문경시,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.0553920267907997,1
,경북,문경시,구시군의장선거,5,3,남,rem,58,,47.25,False,-1.5135931694864992,1
이현준,경북,,구시군의장선거,5,1,남,con,55,,47.25,True,,1
윤영식,경북,예천군,구시군의장선거,5,3,남,rem,51,,47.25,False,-0.1434659070744986,1
김학동,경북,예천군,구시군의장선거,5,3,남,rem,47,,47.25,False,0.8530213963135267,1
이우경,경북,경산시,구시군의장선거,5,1,남,con,60,정당인,47.25,False,,1
최병국,경북,경산시,구시군의장선거,5,3,남,rem,54,,47.25,True,4.595119850134589,1
이중근,경북,청도군,구시군의장선거,5,1,남,con,68,,47.25,True,,
안성규,경북,청도군,구시군의장선거,5,3,,rem,58,정당인,47.25,False,-0.8141114253105244,
박순동,경북,청도군,,5,3,남,rem,50,,47.25,False,-1.776306044886449,1
곽용환,경북,고령군,구시군의장선거,5,1,남,con,51,정당인,47.25,True,,1
박홍배,경북,고령군,구시군의장선거,,3,남,rem,59,,47.25,False,-2.501814919057816,1
정재수,경북,고령군,구시군의장선거,5,3,남,rem,61,,47.25,False,0.5886583857887244,1
김항곤,경북,,구시군의장선거,5,1,남,con,58,정당인,47.25,True,,1
오근화,경북,성주군,구시군의장선거,5,3,남,rem,56,,47.25,False,-0.8374774828064467,1
최성곤,경북,성주군,구시군의장선거,5,,남,rem,49,,47.25,False,0.03252434660600473,1
김경포,경북,칠곡군,구시군의장선거,5,1,남,con,59,정당인,47.25,False,,1
김시환,경북,칠곡군,구시군의장선거,5,,남,,47,,47.25,False,-0.9123916632588994,1
배상도,경북,칠곡군,구시군의장선거,5,3,남,rem,71,,,False,4.595119850134589,1
,경북,칠곡군,구시군의장선거,5,3,남,rem,53,,47.25,True,4.595119850134589,1
장욱,경북,군위군,구시군의장선거,5,1,남,con,55,정당인,47.25,True,,1
권오준,경북,군위군,구시군의장선거,5,3,남,rem,51,,47.25,False,-3.2711048515344827,1
오규원,,군위군,,5,3,,rem,62,,47.25,False,-1.5294073435555458,1
김영만,경북,군위군,구시군의장선거,5,3,남,rem,57,,47.25,False,3.1726629817130703,1
이희지,경북,영양군,구시군의장선거,5,3,남,rem,61,,47.25,False,,1
권영택,경북,영양군,구시군의장선거,5,3,남,rem,47,,47.25,True,4.595119850134589,1
권재욱,경북,영양군,구시군의장선거,5,3,남,rem,48,,47.25,False,0.837287239381103,1
김병목,경북,영덕군,구시군의장선거,5,1,남,con,58,,47.25,True,,1
이상도,경북,영덕군,구시군의장선거,5,3,남,rem,69,,47.25,False,-1.0378792031456463,1
유학래,경북,영덕군,구시군의장선거,5,3,남,rem,55,,47.25,False,-1.2291310390245478,1
박노욱,,봉화군,구시군의장선거,5,1,남,con,49,,47.25,True,,1
